linenumber,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
233,DR041,Expenditure,Ship Out,1339.77,,0,VSDT*VSDO,,Outfitting,Pound sterling,
234,DR041,Return,Ship In,1004.8275,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
235,DR042,Expenditure,Outfitting,1528,,0,,,Outfitting,Pound sterling,
236,DR042,Expenditure,Trade cargo costs,2360,,0,,,Outfitting,Pound sterling,
237,DR042,Expenditure,Insurance,1087,,0,INV,,Outfitting,Pound sterling,
238,DR042,Return,Net return,1970,,0,,,Return,Pound sterling,
239,DR042,Expenditure,Ship Out,300,,0,,,Outfitting,Pound sterling,
240,DR042,Return,Ship In,225,,0,VSRV,,Return,Pound sterling,
241,DR043,Expenditure,Total outlays,6955,,0,,,Outfitting,Pound sterling,
242,DR043,Expenditure,Insurance,765,,0,INV,,Outfitting,Pound sterling,
243,DR043,Return,Net return,8583,,0,,,Return,Pound sterling,Not including ship residual value on return
244,DR043,Expenditure,Ship Out,1182,,0,VSDT*VSDO,,Outfitting,Pound sterling,
245,DR043,Return,Ship In,887,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
246,DR044,Expenditure,Gross outlays,6315,,0,,,Outfitting,Pound sterling,Not including value of ship out
247,DR044,Expenditure,Insurance,695,,0,INV,,Outfitting,Pound sterling,
248,DR044,Expenditure,Ship Out,887,,0,VSDO*VSRV,,Outfitting,Pound sterling,Estimated based on residual value from previous voyage DR043
249,DR044,Return,Net return,10774,,0,,,Return,Pound sterling,Not including ship residual value on return
250,DR044,Return,Ship In,568,,0,VSDO*VSRV*VSRV,,Return,Pound sterling,
251,DR045,Expenditure,Gross outlays,6577,,0,,,Outfitting,Pound sterling,Not including value of ship out
252,DR045,Expenditure,Insurance,723,,0,INV,,Outfitting,Pound sterling,
253,DR045,Expenditure,Ship Out,320,,0,VSDR,,Outfitting,Pound sterling,
254,DR045,Return,Net return,9143,,0,,,Return,Pound sterling,
255,DR045,Return,Ship In,240,,0,,,Return,Pound sterling,
256,DR046,Expenditure,Gross outlays,5693,,0,,,Outfitting,Pound sterling,
257,DR046,Expenditure,Insurance,516,,0,INV,,Outfitting,Pound sterling,
258,DR046,Return,Net return,5442,,0,,,Return,Pound sterling,
259,DR046,Expenditure,Ship Out,885.53,,0,VSDT*VSDO,,Outfitting,Pound sterling,
260,DR046,Return,Ship In,664.1475,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
261,DR047,Expenditure,Gross outlays,4484,,0,,,Outfitting,Pound sterling,
262,DR047,Expenditure,Insurance,493,,0,INV,,Outfitting,Pound sterling,
